Type d'erreur,Message,Fichier,Ligne,Colonne,Sévérité
undefined_method,"The method 'show' isn't defined for the type 'ReportDialog'.",lib/features/matching/pages/profile_detail_page.dart,408,17,1
undefined_method,"The method '_announceChange' isn't defined for the type 'AccessibilityService'.",lib/features/settings/pages/accessibility_settings_page.dart,511,24,1
undefined_method,"The method 'markMessagesAsRead' isn't defined for the type 'WebSocketService'.",lib/features/chat/providers/chat_provider.dart,294,25,1
argument_type_not_assignable,"The argument type 'List<BoxShadow> Function({bool highContrast})' can't be assigned to the parameter type 'List<BoxShadow>?'.",lib/features/chat/pages/chat_list_page.dart,245,29,1
undefined_named_parameter,"The named parameter 'alignedLabelStyle' isn't defined.",lib/features/feedback/pages/feedback_page.dart,392,8,1
argument_type_not_assignable,"The argument type 'List<BoxShadow> Function({bool highContrast})?' can't be assigned to the parameter type 'List<BoxShadow>?'.",lib/features/subscription/pages/subscription_page.dart,526,27,1
missing_required_argument,"The named parameter 'createdAt' is required, but there's no corresponding argument.",lib/features/profile/providers/profile_provider.dart,466,33,1
undefined_enum_constant,"There's no constant named 'dashed' in 'BorderStyle'.",lib/features/profile/widgets/photo_management_widget.dart,131,31,1
undefined_enum_constant,"There's no constant named 'dashed' in 'BorderStyle'.",lib/features/profile/widgets/photo_management_widget.dart,301,51,1
expected_token,"Expected to find ';'.",lib/features/legal/pages/privacy_page.dart,280,6,1
missing_identifier,"Expected an identifier.",lib/features/legal/pages/privacy_page.dart,280,7,1
unexpected_token,"Unexpected text ';'.",lib/features/legal/pages/privacy_page.dart,280,7,1
missing_identifier,"Expected an identifier.",lib/features/legal/pages/privacy_page.dart,281,4,1
expected_token,"Expected to find ';'.",lib/features/legal/pages/privacy_page.dart,280,7,1
unexpected_token,"Unexpected text ';'.",lib/features/legal/pages/privacy_page.dart,281,4,1
argument_type_not_assignable,"The argument type 'List<BoxShadow> Function({bool highContrast})' can't be assigned to the parameter type 'List<BoxShadow>?'.",lib/features/main/pages/home_page.dart,189,33,1
undefined_getter,"The getter 'borderLight' isn't defined for the type 'AppColors'.",lib/features/reports/pages/user_reports_page.dart,168,29,1
undefined_getter,"The getter 'borderLight' isn't defined for the type 'AppColors'.",lib/features/reports/pages/user_reports_page.dart,219,62,1
argument_type_not_assignable,"The argument type 'List<BoxShadow> Function({bool highContrast})' can't be assigned to the parameter type 'List<BoxShadow>?'.",lib/shared/widgets/optimized_image.dart,353,15,1
